Date,Index,Price,Volume,Daily Change,Market Cap,Year,Month,Day
2016-01-06 00:00:00,^FTMC,17059.0,274581200.0,-0.008485905260098847,4684080690800.0,2016,01,06
2016-01-06 00:00:00,^IBEX,9197.390625,288658500.0,-0.014761327658541767,2654904981726.5625,2016,01,06
2016-01-06 00:00:00,^IXIC,4835.759765625,2168620000.0,-0.011381213296652759,10486925342929.688,2016,01,06
2016-01-06 00:00:00,^KS11,1925.4300537109375,594600.0,-0.0026417489023959906,1144860709.9365234,2016,01,06
2016-01-06 00:00:00,^MXX,41691.19140625,185518000.0,-0.008336685971046198,7734466447304.6875,2016,01,06
2016-01-06 00:00:00,^N225,18191.3203125,142200000.0,-0.009942292777838202,2586805748437.5,2016,01,06
2016-01-07 00:00:00,000001.SS,3125.001953125,70600.0,-0.0704489590741445,220625137.890625,2016,01,07
2016-01-07 00:00:00,DAX,20.594423294067383,4200.0,-0.01781171062119491,86496.57783508301,2016,01,07
2016-01-07 00:00:00,EWZ,17.060516357421875,21770900.0,-0.037148574058820216,371422795.5657959,2016,01,07
2016-01-07 00:00:00,FTSEMIB.MI,20189.0,749548400.0,-0.011409264518656315,15132632647600.0,2016,01,07
2016-01-07 00:00:00,VCE.TO,22.61283302307129,21400.0,-0.020748444989958204,483914.6266937256,2016,01,07
2016-01-07 00:00:00,^BSESN,24851.830078125,11800.0,-0.021825269462173447,293251594.921875,2016,01,07
2016-01-07 00:00:00,^DJAU,331.1600036621094,0.0,-0.022809792712090382,0.0,2016,01,07
2016-01-07 00:00:00,^DJI,16514.099609375,1762400.0,-0.02321059530855174,29104449151.5625,2016,01,07
2016-01-07 00:00:00,^FTMC,16792.19921875,283943900.0,-0.015639884005510307,4768042535748.828,2016,01,07
2016-01-07 00:00:00,^IBEX,9059.291015625,395763700.0,-0.015015085800490269,3585338531720.508,2016,01,07
2016-01-07 00:00:00,^IXIC,4689.43017578125,2552590000.0,-0.03025989646630789,11970192572397.46,2016,01,07
2016-01-07 00:00:00,^KS11,1904.3299560546875,393000.0,-0.010958641481461862,748401672.7294922,2016,01,07
2016-01-07 00:00:00,^MXX,40661.5703125,263904200.0,-0.024696370120899203,10730759184064.062,2016,01,07
2016-01-07 00:00:00,^N225,17767.33984375,168000000.0,-0.023306745275584295,2984913093750.0,2016,01,07
2016-01-08 00:00:00,000001.SS,3186.412109375,286400.0,0.0196512377179765,912588428.125,2016,01,08
2016-01-08 00:00:00,DAX,20.398794174194336,4600.0,-0.009499130763686026,93834.45320129395,2016,01,08
2016-01-08 00:00:00,EWZ,16.9804630279541,16554100.0,-0.004692315741835595,281096283.011055,2016,01,08
2016-01-08 00:00:00,FTSEMIB.MI,19869.0,550008300.0,-0.015850215463866446,10928114912700.0,2016,01,08
